@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-weka.filters.unsupervised.attribute.Remove-R28-29'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}
@attribute score numeric
@attribute score1 numeric

@data
4,3,20,9,0,0,1,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,59,East,888,987
5,3,20,9,0,0,1,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,58,East,987,1086
6,3,20,9,1,1,0,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,57,North,1086,1185
6,4,20,9,1,1,0,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,56,North,1185,1284
6,5,20,9,1,1,1,1,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,55,West,1284,1383
5,5,20,9,0,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,54,West,1383,1482
4,5,20,9,1,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,53,West,1482,1581
3,5,20,9,0,1,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,52,West,1581,1680
2,5,20,9,0,0,1,1,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,51,West,1680,1779
1,5,20,9,1,1,1,0,1,West,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,50,North,1779,1878
1,6,20,9,1,1,0,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,49,North,1878,1877
1,7,20,9,0,1,1,0,1,North,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,49,East,1877,1976
2,7,20,9,0,0,1,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,48,East,1976,2075
3,7,20,9,0,0,1,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,47,East,2075,2174
4,7,20,9,0,1,0,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,46,South,2174,2273
4,6,20,9,1,1,0,0,1,South,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,South,2273,2272
4,5,20,9,1,0,1,1,1,South,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,East,2272,2271
5,5,20,9,0,0,1,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,East,2271,2270
6,5,20,9,1,1,1,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,East,2270,2269
7,5,20,9,0,0,1,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,East,2269,2468
8,5,20,9,0,0,1,1,1,East,4,1,1,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,East,2468,2467
9,5,20,9,1,1,1,1,1,East,4,1,1,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,East,2467,2666
10,5,20,9,1,0,1,1,1,East,4,1,1,3,1,11,5,17,7,Stop,Stop,Stop,Stop,45,East,2666,2865
11,5,20,9,0,0,0,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,45,West,2865,2864
10,5,20,9,1,0,1,1,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,45,North,2864,2963
