@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R33-35-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,31-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-31'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}

@data
13,7,20,15,1,1,0,0,1,North,4,4,6,10,9,8,9,11,9,North,West,West,East,106,North
13,8,20,15,1,1,0,0,1,North,4,4,5,9,9,8,9,11,9,South,West,West,West,105,North
13,9,20,15,1,1,0,0,1,North,4,5,5,9,10,7,9,10,9,East,North,West,North,104,North
13,10,20,15,1,1,0,0,1,North,4,5,5,10,10,7,9,10,10,East,East,West,North,103,North
13,11,20,15,1,1,1,1,1,North,4,5,5,10,10,7,9,10,11,East,East,West,West,102,North
13,12,20,15,1,1,0,0,1,North,4,4,5,10,9,6,9,9,11,West,South,West,South,101,North
6,9,20,15,1,1,1,1,1,West,4,4,5,3,1,5,6,7,1,West,Stop,South,Stop,94,North
14,5,19,7,0,1,1,1,1,East,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,13,South
14,4,19,7,1,1,0,0,1,South,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,12,South
14,3,19,7,1,1,1,0,1,South,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,11,South
14,2,19,7,1,1,1,0,1,South,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,10,South
17,5,19,7,0,1,0,1,1,East,4,1,1,3,1,5,1,17,1,Stop,Stop,Stop,Stop,4,South
14,17,28,29,0,1,1,1,1,West,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,South
14,16,28,29,1,1,0,1,1,South,4,10,15,13,15,14,15,17,15,Stop,Stop,Stop,Stop,0,South
4,7,20,9,0,1,0,1,1,East,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,46,South
4,6,20,9,1,1,0,0,1,South,4,8,5,10,5,11,5,17,7,Stop,Stop,Stop,Stop,45,South
13,7,20,9,0,1,0,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,40,South
13,6,20,9,1,1,0,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,39,South
16,5,20,9,0,1,1,1,1,East,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,35,South
16,4,20,9,1,1,0,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,34,South
15,3,20,9,0,1,1,0,1,West,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,32,South
15,2,20,9,1,1,0,0,1,South,4,1,1,3,1,5,1,17,7,Stop,Stop,Stop,Stop,31,South
1,18,30,20,0,1,1,0,1,Stop,4,5,10,11,4,18,6,25,7,North,North,East,West,0,South
1,17,30,20,1,1,0,0,1,South,4,5,9,11,3,19,6,24,7,South,South,East,East,0,South
1,16,30,20,1,1,1,0,1,South,4,4,9,11,3,19,5,25,7,West,South,South,North,0,South
1,15,30,20,1,1,1,0,1,South,4,5,9,11,4,19,6,25,8,East,North,North,North,0,South
1,14,30,20,1,1,1,0,1,South,4,5,10,10,4,19,6,25,9,North,West,North,West,0,South
1,13,30,20,1,1,0,0,1,South,4,6,10,10,3,20,6,24,9,East,South,East,North,0,South
1,12,30,20,1,1,1,0,1,South,4,5,10,9,3,19,6,24,10,West,West,West,South,0,South
1,11,30,20,1,1,0,0,1,South,4,5,10,9,3,19,5,24,9,West,West,South,West,0,South
1,10,30,20,1,1,0,0,1,South,4,6,10,9,3,19,4,23,9,East,West,South,South,0,South
1,9,30,20,1,1,0,0,1,South,4,6,9,8,3,19,5,23,8,South,West,North,South,0,South
1,8,30,20,1,1,0,0,1,South,4,6,9,8,3,19,6,23,7,South,West,North,South,0,South
1,7,30,20,1,1,0,0,1,South,4,6,8,9,3,20,6,23,6,South,East,East,South,0,South
5,8,30,20,1,1,1,1,1,North,4,1,1,11,3,22,3,23,6,Stop,East,East,South,0,South
6,7,30,20,1,1,0,1,1,East,4,1,1,11,4,21,4,23,4,Stop,North,West,West,0,South
8,6,30,20,1,1,1,1,1,East,4,1,1,10,4,23,4,23,3,Stop,West,East,East,0,South
8,5,30,20,1,1,1,0,1,South,4,1,1,11,4,22,4,24,3,Stop,East,West,East,0,South
13,12,30,20,0,1,1,1,1,East,4,1,1,3,1,21,3,28,7,Stop,Stop,South,South,0,South
13,11,30,20,1,1,1,0,1,South,4,1,1,3,1,20,3,28,6,Stop,Stop,West,South,0,South
13,10,30,20,1,1,1,0,1,South,4,1,1,3,1,21,3,28,5,Stop,Stop,East,South,0,South
13,9,30,20,1,1,1,0,1,South,4,1,1,3,1,21,3,28,4,Stop,Stop,East,South,0,South
13,8,30,20,1,1,1,0,1,South,4,1,1,3,1,20,3,28,4,Stop,Stop,West,South,0,South
13,7,30,20,1,1,1,0,1,South,4,1,1,3,1,20,4,28,4,Stop,Stop,North,North,0,South
13,6,30,20,1,1,1,0,1,South,4,1,1,3,1,21,4,28,5,Stop,Stop,East,North,0,South
13,5,30,20,1,1,1,0,1,South,4,1,1,3,1,22,4,28,5,Stop,Stop,East,West,0,South
3,5,20,13,1,1,1,0,1,West,4,8,7,9,7,10,7,11,7,Stop,Stop,Stop,Stop,99,South
1,18,30,20,0,1,1,0,1,Stop,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,17,30,20,1,1,0,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,16,30,20,1,1,1,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,15,30,20,1,1,1,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,14,30,20,1,1,1,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,13,30,20,1,1,0,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,12,30,20,1,1,1,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,11,30,20,1,1,0,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,10,30,20,1,1,0,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,9,30,20,1,1,0,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,8,30,20,1,1,0,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
1,7,30,20,1,1,0,0,1,South,4,5,9,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
5,9,30,20,1,1,1,1,1,East,4,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
5,8,30,20,1,1,1,1,1,South,4,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
5,7,30,20,1,1,1,1,1,South,4,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
5,6,30,20,1,1,1,1,1,South,4,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
5,5,30,20,1,1,0,1,1,South,4,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
5,4,30,20,1,1,0,1,1,South,4,1,1,11,3,17,6,25,7,Stop,Stop,Stop,Stop,0,South
13,12,30,20,0,1,1,1,1,East,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,South
13,11,30,20,1,1,1,0,1,South,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,South
13,10,30,20,1,1,1,0,1,South,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,South
13,9,30,20,1,1,1,0,1,South,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,South
13,8,30,20,1,1,1,0,1,South,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,South
13,7,30,20,1,1,1,0,1,South,4,1,1,3,1,17,6,25,7,Stop,Stop,Stop,Stop,0,South
13,7,20,9,0,1,0,1,1,East,4,1,3,3,2,3,1,15,5,North,North,South,East,50,South
13,6,20,9,1,1,0,0,1,South,4,1,4,3,3,3,1,16,5,North,North,South,West,49,South
14,17,28,29,0,1,1,1,1,West,4,11,15,12,19,5,1,16,15,East,South,Stop,East,0,South
14,16,28,29,1,1,0,1,1,South,4,12,15,12,18,5,1,17,15,East,South,Stop,East,0,South
5,5,19,7,0,1,1,1,1,East,4,1,1,3,1,5,3,17,2,West,West,North,North,14,South
5,4,19,7,1,1,0,0,1,South,4,1,2,3,1,5,2,17,3,North,West,South,North,14,South
5,3,19,7,1,1,0,0,1,South,4,1,2,3,1,5,1,17,3,North,West,Stop,North,14,South
5,2,19,7,1,1,0,0,1,South,4,1,2,4,1,6,1,17,4,North,East,East,South,13,South
9,9,20,13,1,1,1,0,1,West,4,9,11,11,11,9,7,9,1,East,East,South,East,103,South
9,8,20,13,1,1,1,0,1,South,4,9,10,10,11,8,7,9,1,South,West,West,East,103,South
6,9,20,14,1,1,0,0,1,North,4,1,0,3,2,7,8,9,11,South,North,West,East,102,South
10,13,20,15,0,1,1,1,1,West,4,10,10,7,9,10,9,11,9,East,West,West,West,97,South
10,12,20,15,1,1,0,1,1,South,4,10,11,6,9,10,10,10,9,North,West,North,North,96,South
10,11,20,15,1,1,0,1,1,South,4,1,1,6,9,9,10,10,10,Stop,West,West,West,95,South
6,13,20,15,0,1,1,0,1,West,4,1,1,3,11,5,1,7,1,Stop,West,Stop,Stop,89,South
10,13,20,15,0,1,1,1,1,West,4,4,5,8,9,6,7,10,9,West,West,South,East,97,South
10,12,20,15,1,1,0,1,1,South,4,3,5,7,9,6,7,11,9,West,West,South,East,96,South
10,11,20,15,1,1,0,1,1,South,4,4,5,6,9,6,7,11,9,East,West,South,East,95,South
10,10,20,15,1,1,0,1,1,South,4,4,6,5,9,5,7,11,9,North,West,West,West,95,South
6,10,20,15,1,1,0,0,1,North,4,3,5,3,1,5,7,7,1,West,Stop,North,Stop,93,South
6,9,20,15,1,1,1,1,1,South,4,3,5,3,1,6,7,7,1,West,Stop,East,Stop,93,South
6,8,20,15,1,1,0,1,1,South,4,3,6,3,1,6,7,7,1,North,Stop,East,Stop,92,South
8,1,19,7,1,0,1,1,1,Stop,4,1,1,1,5,10,5,17,1,Stop,Stop,Stop,Stop,22,East
1,5,19,7,0,1,1,0,1,North,4,1,1,3,1,10,5,17,1,Stop,Stop,Stop,Stop,15,East
