@RELATION training_keyboard

    @ATTRIBUTE pacman_positionX NUMERIC
    @ATTRIBUTE pacman_positionY NUMERIC
    @ATTRIBUTE width_map NUMERIC
    @ATTRIBUTE height_map NUMERIC
    @ATTRIBUTE legal_North {0, 1}
    @ATTRIBUTE legal_South {0, 1}
    @ATTRIBUTE legal_East {0, 1}
    @ATTRIBUTE legal_West {0, 1}
    @ATTRIBUTE legal_Stop {0, 1}
    @ATTRIBUTE pacman_direction {North, South, East, West, Stop}
    @ATTRIBUTE n_ghosts NUMERIC
    @ATTRIBUTE living_ghosts NUMERIC
    @ATTRIBUTE ghost1_positionX NUMERIC
    @ATTRIBUTE ghost1_positionY NUMERIC
    @ATTRIBUTE ghost2_positionX NUMERIC
    @ATTRIBUTE ghost2_positionY NUMERIC
    @ATTRIBUTE ghost3_positionX NUMERIC
    @ATTRIBUTE ghost3_positionY NUMERIC
    @ATTRIBUTE ghost4_positionX NUMERIC
    @ATTRIBUTE ghost4_positionY NUMERIC
    @ATTRIBUTE ghost1_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost2_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost3_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost4_direction {North, South, East, West, Stop, None}
    @ATTRIBUTE ghost1_distance NUMERIC
    @ATTRIBUTE ghost2_distance NUMERIC
    @ATTRIBUTE ghost3_distance NUMERIC
    @ATTRIBUTE ghost4_distance NUMERIC
    @ATTRIBUTE n_food NUMERIC
    @ATTRIBUTE closest_foo NUMERIC
    @ATTRIBUTE next_step {North, South, East, West, Stop}
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE score1 NUMERIC
    @ATTRIBUTE score2 NUMERIC
    @ATTRIBUTE score3 NUMERIC


    @data
15, 1, 19, 7, 1, 0, 0, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 8, 1, North, 2169, 2268, 2267, 2266
15, 2, 19, 7, 1, 1, 0, 1, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 7, 2, North, 2268, 2267, 2266, 2265
15, 3, 19, 7, 0, 1, 0, 1, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 7, 2, West, 2267, 2266, 2265, 2264
14, 3, 19, 7, 1, 1, 1, 0, 1, West, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 7, 3, North, 2266, 2265, 2264, 2363
14, 4, 19, 7, 1, 1, 0, 0, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 7, 2, North, 2265, 2264, 2363, 2462
14, 5, 19, 7, 0, 1, 1, 1, 1, North, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 7, 1, East, 2264, 2363, 2462, 2561
15, 5, 19, 7, 0, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 6, 1, East, 2363, 2462, 2561, 2660
16, 5, 19, 7, 0, 0, 1, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 5, 1, East, 2462, 2561, 2660, 2759
17, 5, 19, 7, 0, 1, 0, 1, 1, East, 4, 1, 1, 1, 3, 1, 5, 1, 17, 1, Stop, Stop, Stop, Stop, -1, -1, -1, -1, 4, 1, South, 2561, 2660, 2759, 2858
14, 3, 28, 29, 0, 0, 1, 1, 1, Stop, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, None, None, None, None, 16, 13, 12, 15, 0, -1, Stop, 0, -1, -2, -3
14, 3, 28, 29, 0, 0, 1, 1, 1, Stop, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 16, 13, 12, 15, 0, -1, Stop, -1, -2, -3, -4
14, 3, 28, 29, 0, 0, 1, 1, 1, Stop, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 16, 13, 12, 15, 0, -1, Stop, -2, -3, -4, -5
14, 3, 28, 29, 0, 0, 1, 1, 1, Stop, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 16, 13, 12, 15, 0, -1, East, -3, -4, -5, -6
15, 3, 28, 29, 1, 0, 1, 1, 1, East, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 17, 14, 13, 14, 0, -1, North, -4, -5, -6, -7
15, 4, 28, 29, 1, 1, 0, 0, 1, North, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 16, 13, 12, 13, 0, -1, North, -5, -6, -7, -8
15, 5, 28, 29, 0, 1, 1, 0, 1, North, 4, 4, 10, 15, 13, 15, 14, 15, 17, 15, Stop, Stop, Stop, Stop, 15, 12, 11, 12, 0, -1, East, -6, -7, -8, -9
